2021-08-06 18:58:54.6877 | Nix_Hotel.WEB.Controllers.BookingController.ViewAll | INFO | |BOOKING| Selecting the list of all bookings 

2021-08-06 18:58:54.7107 | Nix_Hotel.WEB.Controllers.BookingController.ViewAll | INFO | |BOOKING| List of all bookings was succesfully selected from DB 

2021-08-06 18:58:55.9591 | Nix_Hotel.WEB.Controllers.BookingController.View | INFO | |BOOKING| Selecting booking with id = 2 

2021-08-06 18:58:55.9682 | Nix_Hotel.WEB.Controllers.BookingController.View | INFO | |BOOKING| Booking with id = 2 was succesfully selected from DB 

2021-08-06 18:58:57.8742 | Nix_Hotel.WEB.Controllers.BookingController.ViewAll | INFO | |BOOKING| Selecting the list of all bookings 

2021-08-06 18:58:57.8872 | Nix_Hotel.WEB.Controllers.BookingController.ViewAll | INFO | |BOOKING| List of all bookings was succesfully selected from DB 

2021-08-06 19:10:28.7629 | Nix_Hotel.WEB.Controllers.BookingController.ViewAll | INFO | |BOOKING| Selecting the list of all bookings 

2021-08-06 19:10:32.2140 | Nix_Hotel.WEB.Controllers.BookingController.ViewAll | INFO | |BOOKING| List of all bookings was succesfully selected from DB 

2021-08-06 19:10:53.1535 | Nix_Hotel.WEB.Controllers.AdminController.Logout | INFO | |LOGIN| Logged out 

2021-08-06 19:13:05.1459 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Trying to find free rooms 

2021-08-06 19:13:08.3816 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Free rooms found 

2021-08-06 19:13:21.6283 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Trying to find free rooms 

2021-08-06 19:13:21.6283 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Incorrect dates, Поле DatesCorrect должно иметь значение между -2147483648 и 0. 

2021-08-06 19:13:24.3736 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Trying to find free rooms 

2021-08-06 19:13:24.3736 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Incorrect dates, Поле DatesCorrect должно иметь значение между -2147483648 и 0. 

2021-08-06 19:13:29.6546 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Trying to find free rooms 

2021-08-06 19:13:29.6806 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Free rooms found 

2021-08-06 19:13:31.5833 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Trying to find free rooms 

2021-08-06 19:13:31.5943 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Free rooms found 

2021-08-06 19:13:35.5531 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Trying to find free rooms 

2021-08-06 19:13:35.5661 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Free rooms found 

2021-08-06 19:14:40.0557 | Nix_Hotel.WEB.Controllers.AdminController.Login | INFO | |LOGIN| Trying to Log In as administrator with name HotelAdmin  

2021-08-06 19:14:42.1972 | Nix_Hotel.WEB.Controllers.AdminController.Login | INFO | |LOGIN| Logged in succesfully as HotelAdmin  

2021-08-06 19:15:02.1185 | Nix_Hotel.WEB.Controllers.BookingController.Add | INFO | |BOOKING| Trying to create new booking 

2021-08-06 19:15:03.9146 | Nix_Hotel.WEB.Controllers.BookingController.Add | INFO | |BOOKING| Trying to create new booking 

2021-08-06 19:15:56.8139 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Trying to find free rooms 

2021-08-06 19:19:32.2143 | Nix_Hotel.WEB.Controllers.BookingController.Add | INFO | |BOOKING| Trying to create new booking 

2021-08-06 19:19:36.4369 | Nix_Hotel.WEB.Controllers.BookingController.Add | INFO | |BOOKING| Trying to create new booking 

2021-08-06 19:19:36.4369 | Nix_Hotel.WEB.Controllers.BookingController.Add | INFO | |BOOKING| Can't create booking, Arrival Date should be set before Check-out date 

2021-08-06 19:19:45.4490 | Nix_Hotel.WEB.Controllers.BookingController.Add | INFO | |BOOKING| Trying to create new booking 

2021-08-06 19:19:54.4167 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Trying to find free rooms 

2021-08-06 19:19:54.4197 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Incorrect dates, Starting Date should be set before Ending date 

2021-08-06 19:19:57.0319 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Trying to find free rooms 

2021-08-06 19:19:57.0449 | Nix_Hotel.WEB.Controllers.RoomController.FreeRooms | INFO | |ROOM| Free rooms found 

2021-08-06 19:32:11.5173 | Nix_Hotel.WEB.Controllers.BookingController.ViewAll | INFO | |BOOKING| Selecting the list of all bookings 

2021-08-06 19:32:14.6471 | Nix_Hotel.WEB.Controllers.BookingController.ViewAll | INFO | |BOOKING| List of all bookings was succesfully selected from DB 

2021-08-06 19:32:20.8052 | Nix_Hotel.WEB.Controllers.BookingController.View | INFO | |BOOKING| Selecting booking with id = 2 

2021-08-06 19:32:20.9912 | Nix_Hotel.WEB.Controllers.BookingController.View | INFO | |BOOKING| Booking with id = 2 was succesfully selected from DB 

2021-08-06 19:32:22.3410 | Nix_Hotel.WEB.Controllers.BookingController.Edit | INFO | |BOOKING| Selecting booking with id = 2 for editing 

2021-08-06 19:32:22.3410 | Nix_Hotel.WEB.Controllers.BookingController.Edit | INFO | |BOOKING| Starting editing booking with id = 2 

2021-08-06 19:32:24.6221 | Nix_Hotel.WEB.Controllers.BookingController.Edit | INFO | |BOOKING| Editing booking with id = 2 

2021-08-06 19:32:24.6221 | Nix_Hotel.WEB.Controllers.BookingController.Edit | INFO | |BOOKING| Booking with id = 2 edited succesfully 

